country,designation,points,price,price_GBP
Chile,Estate,86,15.0,18.0
Chile,,86,9.0,10.799999999999999
Chile,Gran Reserva,85,22.0,26.4
Chile,Reserve,85,13.0,15.6
Chile,Special Release Reserva,86,12.0,14.399999999999999
Chile,Single Vineyard Falaris Hill,87,18.0,21.599999999999998
Chile,Condesa Real Premium Blend,91,29.0,34.8
Chile,20 Barrels,91,32.0,38.4
Chile,The 7th Generation Gran Reserva Estate Bottled,91,20.0,24.0
Chile,Unusual Cabernet-Shiraz-Zinfandel,88,50.0,60.0
Chile,Envero Gran Reserva,88,15.0,18.0
Chile,Casa La Joya Reserve,88,11.0,13.2
Chile,Natura,87,11.0,13.2
Chile,Grey [Glacier] Single Block Trinidad Vineyard,87,20.0,24.0
Chile,,87,19.0,22.8
Chile,Reserva,86,18.0,21.599999999999998
Chile,Gran Araucano,86,35.0,42.0
Chile,Legado Reserva,86,18.0,21.599999999999998
Chile,Visión,86,15.0,18.0
Chile,Costa,83,35.0,42.0
Chile,Grand Reserve,81,20.0,24.0
Chile,Gran Reserva,80,19.0,22.8
Chile,Reserva de la Familia,88,10.0,12.0
Chile,Estate Bottled,88,12.0,14.399999999999999
Chile,Estate Grown Reserve,88,15.0,18.0
Chile,Reserve,88,12.0,14.399999999999999
Chile,Reserve,88,14.0,16.8
Chile,Castillo de Molina Reserva,87,11.0,13.2
Chile,Reserva,87,12.0,14.399999999999999
Chile,Visión,85,15.0,18.0
Chile,Estate Selection,85,13.0,15.6
Chile,Casa la Joya Reserve,85,11.0,13.2
Chile,Casa,85,14.0,16.8
Chile,20 Barrels Limited Edition Peralillo Estate,91,35.0,42.0
Chile,Cuvée Alexandre Apalta Vineyard Made With Organic Grapes,91,24.0,28.799999999999997
Chile,347 Vineyards,87,13.0,15.6
Chile,Antu,87,19.0,22.8
Chile,Block Selection Reserve Block N. 10,86,12.0,14.399999999999999
Chile,,86,11.0,13.2
Chile,Reserva Estate Bottled,86,10.0,12.0
Chile,Gran Reserva,90,15.0,18.0
Chile,Selected Terroir,85,10.0,12.0
Chile,Pionero,85,9.0,10.799999999999999
Chile,Gran Reserva,88,18.0,21.599999999999998
Chile,El Delirio Reserve Syrah-Malbec,85,11.0,13.2
Chile,Millantu,90,25.0,30.0
Chile,Éclat Vigno Old Vine Blend,90,35.0,42.0
Chile,Reserva,84,13.0,15.6
Chile,Reserva Casillero del Diablo,84,11.0,13.2
Chile,Medalla Real Gran Reserva,84,18.0,21.599999999999998
Chile,Reserva Casillero del Diablo,83,11.0,13.2
Chile,Reserve,87,9.0,10.799999999999999
Chile,Vineyard Reserve,86,20.0,24.0
Chile,Reserva,86,12.0,14.399999999999999
Chile,Reserve,86,14.0,16.8
Chile,Reserva,85,9.0,10.799999999999999
Chile,Los Vascos,85,12.0,14.399999999999999
Chile,Castillo de Molina Reserva,85,12.0,14.399999999999999
Chile,Gê,92,92.0,110.39999999999999
Chile,Terrunyo Vineyard Selection Block Las Terrazas Unfiltered,92,38.0,45.6
Chile,Aluvion Gran Reserva Ensamblaje,92,29.0,34.8
Chile,VSC,92,40.0,48.0
Chile,,85,15.0,18.0
Chile,120 Reserva Especial,85,8.0,9.6
Chile,,85,10.0,12.0
Chile,Grand Reserve,84,15.0,18.0
Chile,,84,13.0,15.6
Chile,Tribute Edicion Limitada Syrah-Cabernet Sauvignon-Viognier,87,30.0,36.0
Chile,Novas Gran Reserva Made with Organically Grown Grapes,87,16.0,19.2
Chile,Max Reserva,87,19.0,22.8
Chile,La Joya Gran Reserva,87,15.0,18.0
Chile,Ona Special Reserve,87,18.0,21.599999999999998
Chile,Tribute Edicion Limitada Cabernet Franc-Petit Verdot,87,30.0,36.0
Chile,Gran Reserva,87,19.0,22.8
Chile,Guardián Reserva,86,10.0,12.0
Chile,First Edition,86,18.0,21.599999999999998
Chile,Viña Punto Alto,88,20.0,24.0
Chile,Anke Blend 2 Carménère-Petit Verdot-Shiraz,87,15.0,18.0
Chile,Gran Reserva Petit Verdot-Carmère-Cabernet Sauvignon,87,15.0,18.0
Chile,Terrunyo El Triángulo Vineyard Block: 28,90,25.0,30.0
Chile,Edición Limitada,90,22.0,26.4
